Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
219th Street,2,IRT,White Plains Road Line,"March 3, 1917",The Bronx,Williamsbridge,"979,390",364,
225th Street,2,IRT,White Plains Road Line,"March 31, 1917",The Bronx,Williamsbridge,"1,187,486",333,
231st Street,1,IRT,Broadway–Seventh Avenue Line,"January 27, 1907",The Bronx,Kingsbridge,"2,919,305",170,
233rd Street,2,IRT,White Plains Road Line,"March 31, 1917",The Bronx,Wakefield,"1,445,532",304,
238th Street,1,IRT,Broadway–Seventh Avenue Line,"August 1, 1908",The Bronx,Kingsbridge,"1,204,095",332,
Alabama Avenue,J,BMT,Jamaica Line,"September 5, 1885",Brooklyn,East New York,"628,299",398,
Allerton Avenue,2,IRT,White Plains Road Line,"March 3, 1917",The Bronx,Allerton,"1,614,464",280,
Aqueduct Racetrack,A,IND,Rockaway Line,"September 14, 1959",Queens,Ozone Park,"601,436",400,
Aqueduct–North Conduit Avenue,A,IND,Rockaway Line,"June 28, 1956",Queens,Ozone Park,"263,422",419,
Astor Place,6,IRT,Lexington Avenue Line,"October 27, 1904",Manhattan,East Village,"5,502,925",81,
Astoria Boulevard,N W,BMT,Astoria Line,"February 1, 1917",Queens,Astoria,"723,354",391,
Astoria–Ditmars Boulevard†,N W,BMT,Astoria Line,"February 1, 1917",Queens,Astoria,"5,277,341",85,
Atlantic Avenue,L,BMT,Carnarsie Line,"July 4, 1889",Brooklyn,East New York,"469,819",411,
Atlantic Avenue–Barclays Center,D N R B Q 2 3 4 5,BMT,Fourth Avenue Line,"June 22, 1915",Brooklyn,Downtown,"13,939,794",20,
,B Q,BMT,Brighton Line,"August 1, 1920",,,,,
,2 3 4 5,IRT,Eastern Parkway Line,"May 1, 1908",,,,,
Avenue H,Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Midwood,"991,766",363,
Avenue I,F,IND,Culver Line,"March 16, 1919",Brooklyn,Midwood,"584,129",404,
Avenue J,Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Midwood,"1,775,846",264,
Avenue M,Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Midwood,"1,691,285",276,
Avenue N,F,IND,Culver Line,"March 16, 1919",Brooklyn,Bensonhurst,"877,383",375,
Avenue P,F,IND,Culver Line,"March 16, 1919",Brooklyn,Midwood,"739,804",389,
Avenue U,Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Homecrest,"2,301,941",202,
Avenue U,F,IND,Culver Line,"May 10, 1919",Brooklyn,Gravesend,"547,776",405,
