MANHATTAN,BRONX,BROOKLYN,QUEENS,STATEN_ISLAND,PERCENT_WHITE,MEDIAN_INCOME,POPULATION_DENSITY,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,LAND_SQUARE_FEET,SALE_PRICE,SERVICES_COUNT,COOP,CONDO,FAMILY_DWELLING,ELEVATOR
1,0,0,0,0,62.06823479550753,68220.0,99492.0,20.0,0.0,2369,9041146,4.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,9.0,1.0,2575,14350000,4.0,0,0,0,0
1,0,0,0,0,62.06823479550753,68220.0,99492.0,48.0,0.0,8904,23000000,4.0,0,0,0,1
1,0,0,0,0,62.06823479550753,68220.0,99492.0,6.0,3.0,2256,10400000,4.0,1,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,14.0,9200,6000000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,1.0,2469,6700000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,1.0,2469,6700000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,5.0,2472,5400000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,2.0,19750,300000000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,35.0,11553,13000000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,35.0,11553,32900000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,35.0,11553,148208300,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,4.0,2.0,1875,5725000,1.0,1,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,3.0,1.0,1570,3880000,1.0,1,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,12.0,4115,1412500,1.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,12.0,4115,3500000,1.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,13.0,4934,1785000,1.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,13.0,4934,1345000,1.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,2.0,2394,14800000,1.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,3.0,2394,14800000,1.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,2.0,1197,14800000,1.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,1.0,1.0,1950,665000,0.0,0,0,1,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,16.0,0.0,2500,6300000,0.0,0,0,0,0
1,0,0,0,0,73.79845448262864,139188.0,81487.0,16.0,0.0,2500,6300000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,1646,5900000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2173,12500000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2057,10600000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,1528,7250000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2316,22500000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,1478,7625000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,2.0,0.0,1528,4395000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,2.0,0.0,2494,12500000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,3.0,0.0,2227,6800000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,3.0,0.0,1397,3550000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,3.0,0.0,2444,5350000,17.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,24.0,0.0,2462,6250000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,44.0,0.0,4584,7500000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,10.0,0.0,2300,3400000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,5.0,0.0,1852,8000000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,5.0,0.0,1852,8000000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,22.0,0.0,4530,7200000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,20.0,0.0,3329,1700000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,18.0,2.0,2370,990000,17.0,0,0,0,1
1,0,0,0,0,80.2643966734662,136208.0,77436.0,18.0,2.0,2370,3700000,17.0,0,0,0,1
1,0,0,0,0,80.2643966734662,136208.0,77436.0,18.0,2.0,2370,1025000,17.0,0,0,0,1
